employee_id,recommended_learning_plan
1,Critical Thinking & Complex Decision Making (C-SOFT-01)
2,Critical Thinking & Complex Decision Making (C-SOFT-01)
4,Critical Thinking & Complex Decision Making (C-SOFT-01)
5,Executive Communication & Stakeholder Alignment (C-SOFT-02)
7,Executive Communication & Stakeholder Alignment (C-SOFT-02)
8,Critical Thinking & Complex Decision Making (C-SOFT-01)
10,Critical Thinking & Complex Decision Making (C-SOFT-01)
11,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
12,Executive Communication & Stakeholder Alignment (C-SOFT-02)
13,Critical Thinking & Complex Decision Making (C-SOFT-01)
14,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
15,Critical Thinking & Complex Decision Making (C-SOFT-01)
16,Critical Thinking & Complex Decision Making (C-SOFT-01)
18,Executive Communication & Stakeholder Alignment (C-SOFT-02)
19,Executive Communication & Stakeholder Alignment (C-SOFT-02)
20,Executive Communication & Stakeholder Alignment (C-SOFT-02)
21,Applied Machine Learning & Deep Learning (C-TECH-03)
22,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
23,Executive Communication & Stakeholder Alignment (C-SOFT-02)
24,Executive Communication & Stakeholder Alignment (C-SOFT-02)
26,Executive Communication & Stakeholder Alignment (C-SOFT-02)
27,Critical Thinking & Complex Decision Making (C-SOFT-01)
28,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
30,Executive Communication & Stakeholder Alignment (C-SOFT-02)
31,Critical Thinking & Complex Decision Making (C-SOFT-01)
32,Critical Thinking & Complex Decision Making (C-SOFT-01)
33,Critical Thinking & Complex Decision Making (C-SOFT-01)
35,Critical Thinking & Complex Decision Making (C-SOFT-01)
36,Executive Communication & Stakeholder Alignment (C-SOFT-02)
38,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
39,Executive Communication & Stakeholder Alignment (C-SOFT-02)
40,Executive Communication & Stakeholder Alignment (C-SOFT-02)
41,Executive Communication & Stakeholder Alignment (C-SOFT-02)
42,Critical Thinking & Complex Decision Making (C-SOFT-01)
45,Critical Thinking & Complex Decision Making (C-SOFT-01)
46,Executive Communication & Stakeholder Alignment (C-SOFT-02)
47,Critical Thinking & Complex Decision Making (C-SOFT-01)
49,Executive Communication & Stakeholder Alignment (C-SOFT-02)
51,Critical Thinking & Complex Decision Making (C-SOFT-01)
52,Executive Communication & Stakeholder Alignment (C-SOFT-02)
53,Executive Communication & Stakeholder Alignment (C-SOFT-02) + Critical Thinking & Complex Decision Making (C-SOFT-01)
54,Executive Communication & Stakeholder Alignment (C-SOFT-02)
55,Critical Thinking & Complex Decision Making (C-SOFT-01)
