employee_id,job_role,total_required_skills,current_skills_count,matched_skills_count,missing_skills_count,career_readiness_pct,missing_skills_list,current_skills_list
1,Sales Executive,19,9,9,10,47.37,Adobe Acrobat|Adobe Creative Cloud software|Adobe InDesign|Adobe Photoshop|Apple macOS|Microsoft Office software|Monitoring|Reading Comprehension|Speaking|Writing,Active Learning|Active Listening|Adobe Illustrator|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Salesforce software
2,Research Scientist,22,11,11,11,50.0,Amazon Web Services AWS software|Ansible software|Apache Spark|Bash|Critical Thinking|Git|GitHub|Go|Learning Strategies|Monitoring|Writing,Active Learning|Active Listening|Apache Hadoop|Apache Kafka|C|C++|Docker|Mathematics|Reading Comprehension|Science|Speaking
4,Laboratory Technician,20,9,9,11,45.0,Active Learning|Billing software|Commercial plate reader software|Critical Thinking|Database software|Google Docs|MEDITECH software|Microsoft PowerPoint|Microsoft Word|SAP software|Speaking,Active Listening|Data entry software|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Monitoring|Reading Comprehension|Science|Writing
5,Research Scientist,22,10,10,12,45.45,Active Learning|Active Listening|Apache Hadoop|C|Docker|GitHub|Go|Mathematics|Monitoring|Reading Comprehension|Science|Speaking,Amazon Web Services AWS software|Ansible software|Apache Kafka|Apache Spark|Bash|C++|Critical Thinking|Git|Learning Strategies|Writing
7,Laboratory Technician,20,9,9,11,45.0,Active Learning|Active Listening|Billing software|Critical Thinking|Data entry software|Database software|Microsoft Office software|Microsoft Word|Monitoring|SAP software|Science,Commercial plate reader software|Google Docs|MEDITECH software|Microsoft Excel|Microsoft Outlook|Microsoft PowerPoint|Reading Comprehension|Speaking|Writing
8,Laboratory Technician,20,9,9,11,45.0,Active Learning|Billing software|Commercial plate reader software|Google Docs|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Reading Comprehension|Science|Speaking|Writing,Active Listening|Critical Thinking|Data entry software|Database software|MEDITECH software|Microsoft Excel|Microsoft Outlook|Monitoring|SAP software
10,Laboratory Technician,20,10,10,10,50.0,Commercial plate reader software|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft Office software|Microsoft PowerPoint|Monitoring|Science|Speaking,Active Learning|Active Listening|Billing software|MEDITECH software|Microsoft Excel|Microsoft Outlook|Microsoft Word|Reading Comprehension|SAP software|Writing
11,Laboratory Technician,20,8,8,12,40.0,Active Listening|Critical Thinking|Data entry software|Google Docs|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|Reading Comprehension|Science|Speaking|Writing,Active Learning|Billing software|Commercial plate reader software|Database software|MEDITECH software|Microsoft Excel|Microsoft Word|SAP software
12,Manufacturing Director,20,10,10,10,50.0,Active Learning|Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Apple macOS|Autodesk AutoCAD|Microsoft Excel|Microsoft PowerPoint|Reading Comprehension|Writing,Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Atlassian Confluence|Atlassian JIRA|Critical Thinking|Learning Strategies|Microsoft Office software|Monitoring|Speaking
13,Healthcare Representative,19,11,11,8,57.89,Apache Hadoop|HubSpot software|Intuit QuickBooks|Microsoft Excel|Microsoft Office software|Reading Comprehension|Salesforce software|Speaking,Active Learning|Active Listening|Amazon Web Services AWS software|Critical Thinking|Google Analytics|Google Workspace software|IBM SPSS Statistics|Linux|Microsoft Outlook|Monitoring|Writing
14,Laboratory Technician,20,9,9,11,45.0,Active Listening|Critical Thinking|Data entry software|Database software|Google Docs|Microsoft PowerPoint|Microsoft Word|Monitoring|Science|Speaking|Writing,Active Learning|Billing software|Commercial plate reader software|MEDITECH software|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Reading Comprehension|SAP software
15,Laboratory Technician,20,10,10,10,50.0,Commercial plate reader software|Critical Thinking|Data entry software|Database software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Speaking|Writing,Active Learning|Active Listening|Billing software|Google Docs|MEDITECH software|Microsoft Outlook|Monitoring|Reading Comprehension|SAP software|Science
16,Research Scientist,22,10,10,12,45.45,Active Learning|Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Kafka|Bash|C++|Learning Strategies|Monitoring|Reading Comprehension|Speaking|Writing,Active Listening|Apache Spark|C|Critical Thinking|Docker|Git|GitHub|Go|Mathematics|Science
18,Laboratory Technician,20,8,8,12,40.0,Active Learning|Active Listening|Billing software|Commercial plate reader software|Critical Thinking|Data entry software|Google Docs|MEDITECH software|Microsoft Word|Reading Comprehension|Speaking|Writing,Database software|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Monitoring|SAP software|Science
19,Laboratory Technician,20,9,9,11,45.0,Active Listening|Billing software|Database software|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Microsoft Word|Monitoring|Reading Comprehension|Speaking|Writing,Active Learning|Commercial plate reader software|Critical Thinking|Data entry software|Google Docs|MEDITECH software|Microsoft Outlook|SAP software|Science
20,Manufacturing Director,20,10,10,10,50.0,Active Listening|Adobe Acrobat|Adobe Creative Cloud software|Adobe Photoshop|Apache Hadoop|Apple macOS|Learning Strategies|Microsoft Office software|Reading Comprehension|Speaking,Active Learning|Amazon Web Services AWS software|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD|Critical Thinking|Microsoft Excel|Microsoft PowerPoint|Monitoring|Writing
21,Research Scientist,22,10,10,12,45.45,Active Learning|Amazon Web Services AWS software|C|C++|Critical Thinking|Docker|Git|GitHub|Mathematics|Reading Comprehension|Science|Speaking,Active Listening|Ansible software|Apache Hadoop|Apache Kafka|Apache Spark|Bash|Go|Learning Strategies|Monitoring|Writing
