employee_id,job_role,skill_name,proficiency_level,data_source
1,Sales Executive,Active Listening,Proficient,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Microsoft Outlook,Advanced,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Critical Thinking,Proficient,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Adobe Illustrator,Intermediate,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Active Learning,Proficient,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Microsoft PowerPoint,Advanced,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Salesforce software,Proficient,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Autodesk AutoCAD,Advanced,Controlled_MVP_Benchmark_Seed42
1,Sales Executive,Microsoft Excel,Proficient,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Apache Kafka,Proficient,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,C,Intermediate,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,C++,Intermediate,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Speaking,Intermediate,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Science,Proficient,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Apache Hadoop,Proficient,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Active Learning,Advanced,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Mathematics,Proficient,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Reading Comprehension,Proficient,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Docker,Advanced,Controlled_MVP_Benchmark_Seed42
2,Research Scientist,Active Listening,Proficient,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Writing,Intermediate,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Microsoft Outlook,Intermediate,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Active Listening,Advanced,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Monitoring,Proficient,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Science,Intermediate,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Microsoft Office software,Intermediate,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Microsoft Excel,Intermediate,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Data entry software,Proficient,Controlled_MVP_Benchmark_Seed42
4,Laboratory Technician,Reading Comprehension,Advanced,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Ansible software,Proficient,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Writing,Intermediate,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Apache Kafka,Advanced,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,C++,Proficient,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Apache Spark,Intermediate,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Amazon Web Services AWS software,Intermediate,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Learning Strategies,Intermediate,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Bash,Advanced,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Critical Thinking,Advanced,Controlled_MVP_Benchmark_Seed42
5,Research Scientist,Git,Proficient,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Writing,Proficient,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,MEDITECH software,Intermediate,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Microsoft PowerPoint,Proficient,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Speaking,Advanced,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Google Docs,Intermediate,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Microsoft Outlook,Advanced,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Microsoft Excel,Proficient,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Commercial plate reader software,Intermediate,Controlled_MVP_Benchmark_Seed42
7,Laboratory Technician,Reading Comprehension,Proficient,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,SAP software,Advanced,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Microsoft Excel,Intermediate,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,MEDITECH software,Proficient,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Monitoring,Proficient,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Database software,Intermediate,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Microsoft Outlook,Intermediate,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Critical Thinking,Advanced,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Active Listening,Intermediate,Controlled_MVP_Benchmark_Seed42
8,Laboratory Technician,Data entry software,Advanced,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Microsoft Excel,Intermediate,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Active Listening,Advanced,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Billing software,Advanced,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,SAP software,Proficient,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,MEDITECH software,Intermediate,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Active Learning,Intermediate,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Reading Comprehension,Proficient,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Writing,Advanced,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Microsoft Outlook,Advanced,Controlled_MVP_Benchmark_Seed42
10,Laboratory Technician,Microsoft Word,Intermediate,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,Database software,Advanced,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,Active Learning,Proficient,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,Microsoft Word,Advanced,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,Billing software,Proficient,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,SAP software,Intermediate,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,Commercial plate reader software,Intermediate,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,MEDITECH software,Intermediate,Controlled_MVP_Benchmark_Seed42
11,Laboratory Technician,Microsoft Excel,Advanced,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Critical Thinking,Advanced,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Amazon Web Services AWS software,Proficient,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Atlassian Confluence,Proficient,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Microsoft Office software,Advanced,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Apache Hadoop,Intermediate,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Atlassian JIRA,Proficient,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Monitoring,Intermediate,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Learning Strategies,Intermediate,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Speaking,Advanced,Controlled_MVP_Benchmark_Seed42
12,Manufacturing Director,Adobe Photoshop,Proficient,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Writing,Proficient,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Monitoring,Proficient,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Critical Thinking,Advanced,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Microsoft Outlook,Proficient,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Google Analytics,Advanced,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Active Listening,Advanced,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Amazon Web Services AWS software,Proficient,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Linux,Advanced,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,IBM SPSS Statistics,Advanced,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Google Workspace software,Proficient,Controlled_MVP_Benchmark_Seed42
13,Healthcare Representative,Active Learning,Advanced,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Commercial plate reader software,Intermediate,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Reading Comprehension,Intermediate,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,SAP software,Advanced,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Billing software,Proficient,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Microsoft Office software,Intermediate,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Microsoft Outlook,Advanced,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Microsoft Excel,Proficient,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,Active Learning,Advanced,Controlled_MVP_Benchmark_Seed42
14,Laboratory Technician,MEDITECH software,Proficient,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Active Listening,Intermediate,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,MEDITECH software,Proficient,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Reading Comprehension,Intermediate,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Monitoring,Proficient,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Google Docs,Proficient,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Billing software,Advanced,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Science,Advanced,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Active Learning,Advanced,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,SAP software,Intermediate,Controlled_MVP_Benchmark_Seed42
15,Laboratory Technician,Microsoft Outlook,Proficient,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Docker,Advanced,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Critical Thinking,Advanced,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,GitHub,Proficient,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Git,Advanced,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Active Listening,Advanced,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Go,Proficient,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Apache Spark,Intermediate,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,C,Intermediate,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Science,Advanced,Controlled_MVP_Benchmark_Seed42
16,Research Scientist,Mathematics,Intermediate,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Microsoft Office software,Advanced,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Database software,Intermediate,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Science,Intermediate,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Microsoft Excel,Proficient,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Monitoring,Intermediate,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Microsoft Outlook,Intermediate,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,SAP software,Advanced,Controlled_MVP_Benchmark_Seed42
18,Laboratory Technician,Microsoft PowerPoint,Intermediate,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,SAP software,Intermediate,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Critical Thinking,Advanced,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Commercial plate reader software,Advanced,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Active Learning,Advanced,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Google Docs,Intermediate,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Science,Advanced,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Data entry software,Advanced,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,Microsoft Outlook,Advanced,Controlled_MVP_Benchmark_Seed42
19,Laboratory Technician,MEDITECH software,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Atlassian JIRA,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Active Learning,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Writing,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Monitoring,Advanced,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Amazon Web Services AWS software,Proficient,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Critical Thinking,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Microsoft PowerPoint,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Autodesk AutoCAD,Intermediate,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Atlassian Confluence,Advanced,Controlled_MVP_Benchmark_Seed42
20,Manufacturing Director,Microsoft Excel,Advanced,Controlled_MVP_Benchmark_Seed42
21,Research Scientist,Apache Spark,Proficient,Controlled_MVP_Benchmark_Seed42
21,Research Scientist,Go,Intermediate,Controlled_MVP_Benchmark_Seed42
21,Research Scientist,Monitoring,Advanced,Controlled_MVP_Benchmark_Seed42
