job_role,soc_code,onet_title,essential_skills_count,software_skills_count,total_required_skills,required_skills_list
Sales Executive,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",7,12,19,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Salesforce software|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Apple macOS|Autodesk AutoCAD
Research Scientist,15-1221.00,Computer and Information Research Scientists,10,12,22,Reading Comprehension|Active Listening|Writing|Speaking|Mathematics|Science|Critical Thinking|Active Learning|Learning Strategies|Monitoring|Amazon Web Services AWS software|Ansible software|Apache Hadoop|Apache Kafka|Apache Spark|Bash|C|C++|Docker|Git|GitHub|Go
Laboratory Technician,29-2012.00,Medical and Clinical Laboratory Technicians,8,12,20,Reading Comprehension|Active Listening|Writing|Speaking|Science|Critical Thinking|Active Learning|Monitoring|Microsoft Excel|Microsoft Office software|Google Docs|MEDITECH software|Microsoft Outlook|Microsoft PowerPoint|Microsoft Word|SAP software|Billing software|Commercial plate reader software|Data entry software|Database software
Manufacturing Director,11-1021.00,General and Operations Managers,8,12,20,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Learning Strategies|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Adobe Acrobat|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Apple macOS|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD
Healthcare Representative,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",7,12,19,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Salesforce software|Amazon Web Services AWS software|Apache Hadoop|Google Analytics|Google Workspace software|HubSpot software|IBM SPSS Statistics|Intuit QuickBooks|Linux
Manager,11-1021.00,General and Operations Managers,8,12,20,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Learning Strategies|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Adobe Acrobat|Adobe Creative Cloud software|Adobe Photoshop|Amazon Web Services AWS software|Apache Hadoop|Apple macOS|Atlassian Confluence|Atlassian JIRA|Autodesk AutoCAD
Sales Representative,41-4012.00,"Sales Representatives, Wholesale and Manufacturing",7,12,19,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Salesforce software|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Adobe Photoshop|Apple macOS|Autodesk AutoCAD
Research Director,11-9121.00,Natural Sciences Managers,10,12,22,Reading Comprehension|Active Listening|Writing|Speaking|Mathematics|Science|Critical Thinking|Active Learning|Learning Strategies|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft PowerPoint|Adobe Acrobat|Adobe Photoshop|ESRI ArcGIS software|IBM SPSS Statistics|Microsoft Access|Microsoft Outlook|Microsoft Project|Microsoft SharePoint|Microsoft Visio
Human Resources,13-1071.00,Human Resources Specialists,8,12,20,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Learning Strategies|Monitoring|Microsoft Excel|Microsoft Office software|Microsoft Outlook|Microsoft PowerPoint|Workday software|Applicant tracking software|Oracle HRIS|Adobe Acrobat|Adobe Creative Cloud software|Adobe Illustrator|Adobe InDesign|Adobe Photoshop
Software Engineer,15-1252.00,Software Developers,7,12,19,Reading Comprehension|Active Listening|Writing|Speaking|Critical Thinking|Active Learning|Monitoring|Amazon Web Services AWS software|Apache Kafka|Atlassian JIRA|C|C#|C++|Cascading style sheets CSS|Docker|Git|GitHub|Go|Google Angular
